新聞來源,網址,第一次抓到時間,資料更新時間,標題,內容
7,http://www.nownews.com/n/2014/03/25/1163981,1395721541,1395721580,台聯批警方動武驅離學生、打傷立委　將提出告訴絕不善了,"<a href=""/search/記者胡健森／台北報導"">記者胡健森／台北報導</a>\n\n台聯立委周倪安在警方驅離佔領行政院抗議學生及群眾時受傷，台聯黨主席黃昆輝今（25）日表示，警方竟然對國會議員下狠毒的手段，台聯正研擬提告，絕不善了，同時也會協助學生提告。\n\n黃昆輝召開記者會表示，周倪安當時穿著立法委員的背心到場關懷學生，希望警察不要傷害學生，結果不但被打倒，警察還用腳踹，鎮暴警察對付手無寸鐵的學生，以警棍、盾牌攻擊學生，並且拳打腳踢。\n\n黃昆輝說，政府企圖抹黑學生暴力，根本顛倒是非，台聯一定協助學生提告，他並呼籲當天在場的民眾，將現場拍到的照片或影像上網，或者是傳到台聯，傳遞真相給全台灣人民及國際，讓全民看到政府的暴力本質。"
8,http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS5/8570125.shtml,1395721545,1395721585,歐習會談台灣問題 各重申立場,【中央社╱台北25日電】\n2014.03.25 12:15 pm\n大陸國家主席習近平24日在荷蘭和美國總統歐巴馬會面時，再度重申稱在台灣、涉藏問題上，美方應恪守尊重中國主權和領土完整。歐巴馬則表示，美國立場沒有變化。\n新華社報導，習近平在荷蘭海牙參加核子安全高峰會期間和歐巴馬（Barack Obama）會面，中美兩國元首對談主題包括新型大國關係、經貿、軍事交流、台灣、西藏及東海、南海問題、烏克蘭問題和氣候變遷。\n報導指，習近平強調，「在台灣、涉藏問題上，美方應該恪守尊重中國主權和領土完整、不支持旨在分裂中國活動的承諾」。東海、南海問題上，美方應客觀公允，分清是非，「多做有利於推動問題妥善解決和局勢緩和的事」。\n歐巴馬重申，在台灣、涉藏議題上，「美方尊重中國的主權和領土完整，這一立場沒有變化。」\n相較於兩人去年在加州陽光莊園會晤，歐巴馬和習近平當時在「美國對台軍售問題」上有不少交鋒，這次雙方沒多著墨，在台灣議題上，各自重申既定立場。\n習近平強調，當前國際形勢紛繁複雜，中美需要和能夠合作的領域廣闊。雙方應堅持不衝突不對抗、相互尊重、合作共贏，以更積極姿態、有力行動，加強雙邊、地區、全球各層面合作，管控分歧和敏感問題。\n歐巴馬則表示，美國無意破壞中國穩定，無意遏制中國，支持中國改革進程。對雙方的分歧和摩擦，美方願以建設性方式處理。\n針對烏克蘭局勢，習近平重申立場，並指對有助緩和局勢緩和推動政治解決的方案持開放態度。報導指，歐巴馬贊同也重視中方作用。\n經貿議題上，習近平說，希望共同辦好新一輪中美戰略與經濟對話、加快推動雙邊投資協定談判。他向美方喊話，希望美國切實放寬民用高技術物項出口中國，提供中國企業赴美投資公平的競爭環境。\n對此，歐巴馬說，美方願加快雙邊投資協定談判進程。\n雙方還就智慧財產權保護、人民幣匯率、網路安全、伊朗核等問題交換意見。
14,http://news.ftv.com.tw/NewsContent.aspx?sno=2014325P11M1,1395722179,1395722296,退場？ 林飛帆：堅持兩岸協議監督立法,學生發起佔領立法院議場行動今天進入第8天，學生總指揮林飛帆被問到是否有退場機制時，明白表示，學生最重要的訴求是，目前沒有一套法律讓服貿有審查的依據，所以要訂立兩岸協議監督條例，他們願意對話，但是到現在沒有人找他們對話。\n\n網路上一長串的PO文，全跟林飛帆、陳為廷、魏揚，這三個這次發起學運的學生總指揮有關，網友肉搜、起底，發現他們3個人都曾經是前民進黨主席蔡英文，小英青年軍的成員。\n\n反批遭到抹黑，要馬政府搞清楚，主導這次行動的不是政黨而是青年，林飛帆一臉不以為然，但是佔領國會已經進入第8天，加上朝野協商陷入僵局，要是再拖下去，對學生只會不利。\n\n再次強調願意對話，只是堅持攸關台灣未來發展的服貿審查，一定要有監督機制，這訴求這幾天不知道說了幾遍，就不知道馬政府聽不聽得進去。(民視新聞 綜合報導)
14,http://news.ftv.com.tw/NewsContent.aspx?sno=2014325P11M1,1395722179,1395729642,退場？ 林飛帆：堅持兩岸協議監督立法,學生發起佔領立法院議場行動今天進入第8天，學生總指揮林飛帆被問到是否有退場機制時，明白表示，學生最重要的訴求是，目前沒有一套法律讓服貿有審查的依據，所以要訂立兩岸協議監督條例，他們願意對話，但是到現在沒有人找他們對話。\n\n網路上一長串的PO文，全跟林飛帆、陳為廷、魏揚，這三個這次發起學運的學生總指揮有關，網友肉搜、起底，發現他們3個人都曾經是前民進黨主席蔡英文，小英青年軍的成員。\n\n學生總指揮林飛帆：「這算是哪門子的起底，這根本是抹黑，請這個政府，還有這些有意要散播這些訊息的人，他們要知道的是，我們現在是實質佔領國會，是年輕人在領導這個國家，而不是我們在接受政黨的領導。」\n\n反批遭到抹黑，要馬政府搞清楚，主導這次行動的不是政黨而是青年，林飛帆一臉不以為然，但是佔領國會已經進入第8天，加上朝野協商陷入僵局，要是再拖下去，對學生只會不利。\n\n學生總指揮林飛帆：「目前為止這個兩岸協議的監督條例，其實已經有民間版的草案，它現在的困境就是，它卡在程序委員會裡面，所以其實只要藍綠朝野政黨能夠，贊同我們的目標，能夠承諾我們，我們都有談的空間跟談的可能，現在就是一個很弔詭的地方，我們對於要我們撤離，還是要先立法這件事情其實我覺得，我們是保持開放的態度，大家可以來談，但是目前為止，沒有人來跟我們談過這些東西。」\n\n再次強調願意對話，只是堅持攸關台灣未來發展的服貿審查，一定要有監督機制，這訴求這幾天不知道說了幾遍，就不知道馬政府聽不聽得進去。(民視新聞 綜合報導)
2,http://www.chinatimes.com/realtimenews/20140325003097-260407,1395722682,1395722779,立委周倪安受傷 台聯揚言提告,"<a href=""/realtimenews/11""> 中時即時</a> <a href=""/reporter/6"">陳文信</a> 2014年03月25日 12:36 \n台聯立委周倪安在警方驅離佔領行政院抗議學生及群眾時受傷，台聯黨主席黃昆輝表示，警方竟然對國會議員下狠毒的手段，台聯正研擬提告，絕不善了，同時也會協助學生提告。\n黃昆輝今天上午召開記者會表示，周倪安當時穿著立法委員的背心到場關懷學生，希望警察不要傷害學生，結果不但被打倒，警察還用腳踹，鎮暴警察對付手無寸鐵的學生，以警棍、盾牌攻擊學生，並且拳打腳踢。\n黃昆輝說，政府企圖抹黑學生暴力，根本顛倒是非，台聯一定協助學生提告，他並呼籲當天在場的民眾，將現場拍到的照片或影像上網，或者是傳到台聯，傳遞真相給全台灣人民及國際，讓全民看到政府的暴力本質。"
5,http://iservice.libertytimes.com.tw/liveNews/news.php?no=975063&amp;type=%E6%94%BF%E6%B2%BB,1395723357,1395723379,佔領國會》立院學生怒喊：中天新聞退出議場！,"〔本報訊〕反服貿活動持續進行，今天立院外仍有5000多名的學生靜坐，過程中多以學生輪番發言，其中學生上台發言，大喊中天新聞退出議場，立刻引起現場學生熱烈迴響。\n\n\n　學生今日持續靜坐，並一一上台發表言論，其中一名來自中壢的男學生，上台發言時，因不滿部分媒體刻意扭曲事實，明顯立場偏頗，並在現場點名中天新聞，斥責其妖魔化報導、刻意製造負面形象，便領著現場的學生大喊「中天新聞退出現場，拒絕採訪！」，引起現場學生掌聲雷動。\n\n　\n\n\n<a href=""http://iservice.libertytimes.com.tw/2013/specials/stp/list.php?rno=4"">【抗議服貿黑箱 學生佔領國會─「佔領國會」專區】</a>"
6,http://newtalk.tw/news/2014/03/25/45648.html,1395723380,1395723436,地方撤警力  朱立倫：不應有政治考量,"新頭殼newtalk2014.03.25 陳冠廷/新北報導\n\n
\n學生反黑箱服貿的抗議活動持續進行，府院甚至還動用鎮暴警察驅離靜坐在行政院的抗議學生，導致100多位民眾與警察受傷；新北市長朱立倫今（25）日受訪時強調，服貿協議一定要逐條的討論，否則一個服貿協議讓台灣分裂、對抗，這樣的社會成本太大。\n\n
\n朱立倫表示，反服貿的基礎有很多的社會原因，也是政治長期以來的對抗、分裂，加上大家對於在經濟上到底服貿是利或弊有爭議，因此還是要回歸公開透明的討論，愈公開、愈透明的討論，才能讓大家瞭解服貿到底對台灣是利或弊；同樣的應回到民主精神，用和平理性的方式，否則的話，一個服貿讓台灣分裂、對抗，社會的秩序受傷害，這樣的社會成本太大。\n\n
\n朱立倫指出，朝野絕對應該要坐下來好好談，畢竟學生的出發點是，絕對不能黑箱作業、希望逐條討論；至於提到的所謂對話或會議也好，這些都是長期或中長期大家應該要努力的，短期還是立法院朝野的黨團要有共識，不管繼續的協商，或進入委員會、任何的方式，一定都是要逐條的討論，最後才是表決，這是民主精神的表現，朝野應該有這樣子的智慧。\n\n
\n對於部分縣市首長有意撤回支援鎮暴的警力，朱立倫認為，台灣是一個整體，當任何一個地方，發生治安或公安、社會事件的時候，彼此相互支援是基本的原則，不要有任何政黨或政治上的考量，否則大家都這樣子的話，將來台灣就不是一個台灣。\n\n
\n他還說，警察同仁這2個禮拜在維護秩序、確保社會的公平正義上，做出許多的努力貢獻，大家要給警察同仁與警眷們加油，畢竟警察代表社會的公平正義、法治精神。"
13,http://news.cts.com.tw/nownews/politics/201403/201403251396724.html,1395723417,1395723437,台聯批警方動武驅離學生、打傷立委　將提出告訴絕不善了,台聯立委周倪安在警方驅離佔領行政院抗議學生及群眾時受傷，台聯黨主席黃昆輝今（25）日表示，警方竟然對國會議員下狠毒的手段，台聯正研擬提告，絕不善了，同時也會協助學生提告。黃昆輝召開記者會表示，周倪安當時穿著立法委員的背心到場關懷學生，希望警察不要傷害學生，結果不但被打倒，警察還用腳踹，鎮暴警察對付手無寸鐵的學生，以警棍、盾牌攻擊學生，並且拳打腳踢。黃昆輝說，政府企圖抹黑學生暴力，根本顛倒是非，台聯一定協助學生提告，他並呼籲當天在場的民眾，將現場拍到的照片或影像上網，或者是傳到台聯，傳遞真相給全台灣人民及國際，讓全民看到政府的暴力本質。\n
5,http://iservice.libertytimes.com.tw/liveNews/news.php?no=975080&amp;type=%E6%94%BF%E6%B2%BB,1395723963,1395724108,佔領國會》棄守立法院？ 傳立委擬在台中開會,"〔本報訊〕太陽花學運佔領立法院進入第8天，導致立院機制停擺，有批踢踢實業坊網友爆料，立法委員已經決議移師到位於台中市霧峰區的立院中部辦公室，將該處設為臨時開會地點，讓會議照常舉行。\n\n\n　太陽花學運和中央政府僵持，由於總統馬英九和立法院長王金平仍不願出面，導致雙方無法對談，至今仍沒有辦法達成共識。\n\n\n　爆料網友稱，立委為了維持立院運作，似乎想對佔領立院的學生採取放任態度，改在位於台中霧峰區中正路的立院中部辦公室召開議會。\n\n\n更多相關新聞請見：\n\n<a href=""http://iservice.libertytimes.com.tw/2013/specials/stp/list.php?rno=4"">【抗議服貿黑箱 學生佔領國會─「佔領國會」專區】</a>\n\n<a href=""http://iservice.libertytimes.com.tw/2013/specials/stp/list.php?rno=6"">【抗議服貿黑箱 學生佔領國會─「遍地開花」專區】</a>"
8,http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS1/8570144.shtml,1395723994,1395724109,朱立倫：警力支援 不應有政黨考量,【中央社╱新北市25日電】\n2014.03.25 12:57 pm\n新北市長朱立倫今天表示，台灣一體，各縣市相互警力支援，不應有政黨或政治考量；他籲各界應為警察的努力加油鼓勵。\n朱立倫今天上午主持市政會議時對立法院或行政院的學生抗議事件表示，各界應對警察多予肯定及鼓勵，畢竟警察同仁代表的是社會絕大多數民眾期待的法治精神及社會公平正義的象徵。\n他表示，當人民受到傷害時，讓公權力、法律受到挑戰時，警察都須依法執行任務。警察在面對民眾時，需非常有耐心、辛苦地執行工作，大家對辛苦的警察同仁應予以支持與鼓勵。\n他表示，警察對須保護一方，要扮演維護法治公平正義角色，有一天角色也可能對調，今天執政黨可能變成明天的反對黨，站在警察對立一方後，又用另一角度來批評或指責，這對警察是非常不公平的。\n他會後受訪時重申，警察這2週來在維護秩序及確保公平正義上，作出很多努力與貢獻，應予警察及警察眷屬加油鼓勵。\n媒體詢及部分縣市要求撤回支援警力的問題，他表示，台灣是一個整體，任何地方發生公安事件，相互支援是基本原則，不能有政黨或政治考量，否則，台灣就不是一個台灣。
14,http://news.ftv.com.tw/NewsContent.aspx?sno=2014325S02M1,1395724021,1395724155,飆車族再現!立院周邊丟信號彈,飆車族又再度現身立法院周邊，24日晚間大約有上百名飆車族騎車在青島東路和中山南路聚集，之後兵分兩路，分兩波鬧事。\n\n其中晚間1點多左右，有人甚至拿出信號彈跟爆裂物準備丟向抗議人群，幸好警方及時壓制，隨後帶回派出所訊問。只是連續幾晚都有不良份子鬧場有沒有關聯？警方真的要好好查查。\n\n民眾手拿信號彈，在立法院周邊沿路叫囂，立刻引來其他抗議群眾跟警察注意，上前包圍。\n\n看不慣不良份子天天到現場搗亂，有人氣不過，衝上去開打。\n\n衝突一觸即發，有人被打到滿臉血，有的人膝蓋摔傷，有人還拿出折疊刀傷人，造成21歲男子背部5公分刀傷，隨後遭警方壓制，沒想到還想盡辦法逃跑。\n\n24號晚間，立法院周邊真的不平靜。先是在晚間11點，有人從新北市板橋地區號召200輛飆車族前往立院滋事。25號凌晨，又有飆仔拿信號彈跟自制玻璃瓶爆裂物，準備丟向抗議群眾。兩波攻擊逮捕超過20人，其中一個遭恐嚇公眾罪移送，最重將可處兩年徒刑。\n\n雖然警方調查這些人都沒有幫派背景，但立法院抗議以來周邊不停有飆車族等不良份子到場鬧事，到底背後有沒有人指使，警方已經深入調查。(民視新聞 綜合報導)
14,http://news.ftv.com.tw/NewsContent.aspx?sno=2014325S02M1,1395724021,1395739353,飆車族再現!立院周邊丟信號彈,飆車族又再度現身立法院周邊，24日晚間大約有上百名飆車族騎車在青島東路和中山南路聚集，之後兵分兩路，分兩波鬧事。\n\n其中晚間1點多左右，有人甚至拿出信號彈跟爆裂物準備丟向抗議人群，幸好警方及時壓制，隨後帶回派出所訊問。只是連續幾晚都有不良份子鬧場有沒有關聯？警方真的要好好查查。\n\n抗議民眾vs.飆車族：「我沒有打啦，幹麻放煙霧彈為什麼為什麼，不是我放煙霧彈啦。」\n\n民眾手拿信號彈，在立法院周邊沿路叫囂，立刻引來其他抗議群眾跟警察注意，上前包圍。\n\n抗議民眾vs.飆車族：「打警察了嗎，你老實說...喂。」\n\n看不慣不良份子天天到現場搗亂，有人氣不過，衝上去開打。\n\n員警vs.飆車族：「你幹麻你幹麻你在做什麼。」\n\n衝突一觸即發，有人被打到滿臉血，有的人膝蓋摔傷，有人還拿出折疊刀傷人，造成21歲男子背部5公分刀傷，隨後遭警方壓制，沒想到還想盡辦法逃跑。\n\n記者vs.飆車族：「台灣萬歲，（是誰派你們來的）愛台灣啦。」\n\n24號晚間，立法院周邊真的不平靜。先是在晚間11點，有人從新北市板橋地區號召200輛飆車族前往立院滋事。25號凌晨，又有飆仔拿信號彈跟自制玻璃瓶爆裂物，準備丟向抗議群眾。兩波攻擊逮捕超過20人，其中一個遭恐嚇公眾罪移送，最重將可處兩年徒刑。\n\n中正一分局副分局長李權哲：「大概都是尋求刺激跟好玩，沒有特殊的身分背景，（有幫派背景嗎），目前查沒有幫派背景。」\n\n雖然警方調查這些人都沒有幫派背景，但立法院抗議以來周邊不停有飆車族等不良份子到場鬧事，到底背後有沒有人指使，警方已經深入調查。(民視新聞 綜合報導)
2,http://www.chinatimes.com/realtimenews/20140325003164-260407,1395724487,1395724520,逾20婦團赴立院 聲援學運,"<a href=""/realtimenews/11""> 中時即時</a> <a href=""/reporter/6"">陳文信</a> 2014年03月25日 13:09 \n行政院出動鎮暴警察，驅離攻占行政院的學生，逾20個婦女團體今天上午站出來，在立法院外聲援抗議學生，並譴責馬政府的暴力行為，怒批政府血腥鎮壓。\n台灣女人連線等民間婦女團體在立法院旁濟南路上舉行記者會，嚴厲譴責政府昨天的暴力行徑，並質疑行政院長江宜樺，「這不是血腥鎮壓，那什麼才算是血腥鎮壓？」\n台灣女人連線理事長黃淑英表示，行政院調派鎮暴警察，攻擊手無寸鐵的學生，此種政府暴力行為已造成學生傷害。她說，「他們手無寸鐵，政府怎麼能對他們施加暴力！這對全天下做母親的人情何以堪？」\n婦女團體呼籲，馬英九總統應立即出面，針對學生訴求給予正面回應，而非以蠻橫、忽視的態度回應學生訴求。"
1,http://www.appledaily.com.tw/realtimenews/article/politics/20140325/366704/%E6%9C%80%E6%AD%A3%E5%A4%AA%E9%99%BD%E8%8A%B1%EF%BC%81%E6%A5%8A%E4%BC%8A%E6%B9%84%E7%AB%8B%E9%99%A2%E7%8F%BE%E5%A0%B4%E5%8F%83%E6%88%B0%E4%B8%AD,1395725089,1395725124,最正太陽花！ 楊伊湄立院現場參戰中,"三立主播楊伊湄再度以行動挺，今天又到反服貿抗議現場，為學生加油打氣。稍早她在臉書po上自拍照，手拿「EMAIL5566」的牌子聲援：「有點遲到，但我到了！」果然女神到場一呼，馬上聚集大批粉絲響應：人美心更美！」、「女神加油！國家有希望了。」、「抗議重要，但更要注意安全」也有網友發現她臥蠶變成黑眼圈了，叮嚀她工作別太累，更有網友大讚：「不是說好cosplay太陽花嗎？哪有這麼正的太陽花啦…」現場的人還說會她待到下午2點半，號召更多網友來現場支持女神。\n?\n另外，四分衛主唱阿山昨晚也在臉書繼續力挺抗議學生：「這是個手心冒汗的星期一早晨，光眼淚不足以形容，老天保佑我們未來的主人翁。」還點播一首U2的《Sunday Bloody Sunday》聲援太陽花學運。（娛樂中心／報導）\n
\n                http://twimg.edgesuite.net/images/ReNews/20140325/420_232f252ebc9d7de5d9e0029b4345a99a.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_8457516948ff8526bc72f7f847c23b12.jpg\n\n
\n                \n
\n                <a href=""http://www.appledaily.com.tw/realtimenews/forum"">【蘋論陣線】：最新評論及獨立媒體每日總覽</a>\n\n<a href=""mailto:onlineopinions@appledaily.com.tw?subject=%A6%B3%B8%DC%ADn%BB%A1%A7%EB%BDZ%A1u%A7Y%AE%C9%BD%D7%BE%C2%A1v"">有話要說 投稿「即時論壇」\n\n onlineopinions@appledaily.com.tw</a>"
1,http://www.appledaily.com.tw/realtimenews/article/politics/20140325/366704/%E6%9C%80%E6%AD%A3%E5%A4%AA%E9%99%BD%E8%8A%B1%EF%BC%81%E6%A5%8A%E4%BC%8A%E6%B9%84%E7%AB%8B%E9%99%A2%E7%8F%BE%E5%A0%B4%E5%8F%83%E6%88%B0%E4%B8%AD,1395725089,1395732447,【更新】余天轟馬英九　楊伊湄立院參戰中,"三立主播楊伊湄再度以行動挺，今天又到反服貿抗議現場，為學生加油打氣。稍早她在臉書po上自拍照，手拿「EMAIL5566」的牌子聲援：「有點遲到，但我到了！」果然女神到場一呼，馬上聚集大批粉絲響應：人美心更美！」、「女神加油！國家有希望了。」、「抗議重要，但更要注意安全」也有網友發現她臥蠶變成黑眼圈了，叮嚀她工作別太累，更有網友大讚：「不是說好cosplay太陽花嗎？哪有這麼正的太陽花啦…」現場的人還說會她待到下午2點半，號召更多網友來現場支持女神。\n?\n另外，四分衛主唱阿山昨晚也在臉書繼續力挺抗議學生：「這是個手心冒汗的星期一早晨，光眼淚不足以形容，老天保佑我們未來的主人翁。」還點播一首U2的《Sunday Bloody Sunday》聲援太陽花學運。\n\n余天則在臉書張貼分享總統馬英九七年前(2006/6/18)時任台北市長時，現身紅杉軍倒扁活動致詞的影片，畫面中馬表示：「只要他無能、他做不好，他的滿意度掉到18趴，表示人民已經不信任他，表示人民已經不尊敬他，就可以把權力拿回來。」、「民主政治就是民意政治跟責任政治，當民意已經不支持你，你的政治責任沒有辦法再承擔的時候，你就應該知道自己下台，不要等人來罷免你。」、「一個人要有羞恥，人家才會尊敬。一個人要有責任感，別人才會同情。」余留言：「馬先生你忘了自己說過的話嗎？」（娛樂中心／報導）\n\n出版時間：13：20\n更新時間：14：34\n?\n
\n                http://twimg.edgesuite.net/images/ReNews/20140325/420_232f252ebc9d7de5d9e0029b4345a99a.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_8457516948ff8526bc72f7f847c23b12.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_72a81a0ae0acbaefcc6ac952875850cd.jpg\n\n
\n                \n
\n                <a href=""http://www.appledaily.com.tw/realtimenews/forum"">【蘋論陣線】：最新評論及獨立媒體每日總覽</a>\n\n<a href=""mailto:onlineopinions@appledaily.com.tw?subject=%A6%B3%B8%DC%ADn%BB%A1%A7%EB%BDZ%A1u%A7Y%AE%C9%BD%D7%BE%C2%A1v"">有話要說 投稿「即時論壇」\n\n onlineopinions@appledaily.com.tw</a>"
1,http://www.appledaily.com.tw/realtimenews/article/politics/20140325/366704/%E6%9C%80%E6%AD%A3%E5%A4%AA%E9%99%BD%E8%8A%B1%EF%BC%81%E6%A5%8A%E4%BC%8A%E6%B9%84%E7%AB%8B%E9%99%A2%E7%8F%BE%E5%A0%B4%E5%8F%83%E6%88%B0%E4%B8%AD,1395725089,1395740323,【更新】楊伊湄躲胖虎哥　摟竹竿哥立院參戰中　,"三立主播楊伊湄再度以行動挺，今天又到反服貿抗議現場，為學生加油打氣，不過有圖有真相，伊湄妹遇到壯壯哥抱她，立刻閃躲，但是竹竿哥靠過去拍照，她主動把手輕搭在他的腹部，原來女神喜歡高瘦型的男生！\n\n稍早她在臉書po上自拍照，手拿「EMAIL5566」的牌子聲援：「有點遲到，但我到了！」果然女神到場一呼，馬上聚集大批粉絲響應：人美心更美！」、「女神加油！國家有希望了。」、「抗議重要，但更要注意安全」也有網友發現她臥蠶變成黑眼圈了，叮嚀她工作別太累，更有網友大讚：「不是說好cosplay太陽花嗎？哪有這麼正的太陽花啦…」現場的人還說會她待到下午2點半，號召更多網友來現場支持女神。\n?\n另外，四分衛主唱阿山昨晚也在臉書繼續力挺抗議學生：「這是個手心冒汗的星期一早晨，光眼淚不足以形容，老天保佑我們未來的主人翁。」還點播一首U2的《Sunday Bloody Sunday》聲援太陽花學運。\n\n余天則在臉書張貼分享總統馬英九七年前(2006/6/18)時任台北市長時，現身紅杉軍倒扁活動致詞的影片，畫面中馬表示：「只要他無能、他做不好，他的滿意度掉到18趴，表示人民已經不信任他，表示人民已經不尊敬他，就可以把權力拿回來。」、「民主政治就是民意政治跟責任政治，當民意已經不支持你，你的政治責任沒有辦法再承擔的時候，你就應該知道自己下台，不要等人來罷免你。」、「一個人要有羞恥，人家才會尊敬。一個人要有責任感，別人才會同情。」余留言：「馬先生你忘了自己說過的話嗎？」（娛樂中心／報導）\n\n出版時間：13：20\n更新時間：17：15\n
\n                http://twimg.edgesuite.net/images/ReNews/20140325/420_9e88db8ab982d7cefb6c7bb42808e5cb.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_c304bde1f9042020434818802ca3ef88.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_232f252ebc9d7de5d9e0029b4345a99a.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_8457516948ff8526bc72f7f847c23b12.jpg\nhttp://twimg.edgesuite.net/images/ReNews/20140325/420_72a81a0ae0acbaefcc6ac952875850cd.jpg\n\n
\n                \n
\n                <a href=""http://www.appledaily.com.tw/realtimenews/forum"">【蘋論陣線】：最新評論及獨立媒體每日總覽</a>\n\n<a href=""mailto:onlineopinions@appledaily.com.tw?subject=%A6%B3%B8%DC%ADn%BB%A1%A7%EB%BDZ%A1u%A7Y%AE%C9%BD%D7%BE%C2%A1v"">有話要說 投稿「即時論壇」\n\n onlineopinions@appledaily.com.tw</a>"
8,http://udn.com/NEWS/BREAKINGNEWS/BREAKINGNEWS1/8570236.shtml,1395725162,1395725237,學生代表：歡迎朝野立委進議場溝通,【聯合晚報╱記者許依晨╱即時報導】\n2014.03.25 01:15 pm\n占據議場的學生團體代表表示，若是朝野立委對於學生所提訴求之一，完成兩岸協議監督機制立法有任何意見想溝通或表達，他們非常歡迎立委進到議場來和學生溝通，目前內部已在規劃於議場中設置一個放上全院立委大頭照的看板，只要願意接受訴求的立委都可在看板上簽名，或留下任何建議。\n學生團體代表林飛帆說，堅持兩岸協議監督條例立法，只要朝野立法院黨團支持並承諾，「我們都有談的空間」。他說，不論海峽兩岸服務貿易協議逐條查或如何審，目前沒法源依據，在審服貿協議前，兩岸協議監督條例一定要立法。\n中研院法律所副研究員黃國昌進一步表示，學生的訴求就是希望程序委員會的立委願意將兩岸協議監督機制排進議程中，並趕緊完成立法，「那大家就可以回家啦」，但因為立法權限在立委手上，因此，他們現在非常歡迎所有立委進場和學生溝通，無論是支持或拒絕的立委都歡迎表態。\n林飛帆強調，是請立委進來議場就此案一起討論，不是要立委來發表演說或在場內接受記者訪問，以免媒體又把他們形塑成被政治人物操控。
12,http://www.ttv.com.tw/103/03/1030325/10303254929801I.htm,1395725189,1395725239,抗爭變調 中年男提汽油桶擬自焚　壓制灑水蓋毛毯 警架離欲自焚男　學生:立法兩岸監督機制 願退議場　退場露曙光 林飛帆:盼王金平對話　改變戰線!網友集資 刊登報紙廣告　黃國昌:資金足夠 月底登紐時廣告,"\n                        
\n									學生佔領立法院第八天，今天場外出現失控場面。\n
\n							        
\n									一名中年男子居然在現場拿裝有汽油的保特瓶淋在身上企圖自焚，幸好被及時制止。\n
\n							        
\n									場內學生也開始拋出退場機制的條件說，除了要求和立法院長王金平對話，希望朝野承諾通過兩岸監督條例立法，他們就同意撤出議場。\n
\n							        
\n									男子拿著裝有汽油的寶特瓶，邊跑邊淋汽油還大喊輕生，甚度掏出打火機要引火自焚。\n
\n								    
\n									場外學生見狀立刻上前制止，而警方一趕到將他壓制在地，並且灑水蓋毛毯。\n
\n								    
\n									男子衝到警方面前意圖自焚，還好員警學生很機警，解除虛驚，為何選擇這麼激烈的手段，警方帶回訊問調查。\n
\n								    
\n									靜坐進入第八天，訴求至今沒有得到正面回應，怎麼退場？學生除了希望和王金平對話，還提出條件說。\n
\n								    
\n									拋出退場機制，還希望和王金平對話。\n
\n								    
\n									王金平不承認，學運還是要繼續，現在從街頭.網路戰線轉到報紙媒體，買下頭版廣告，廣告右上方特別標記3千495位公民贊助6百多萬元，要駁斥學生暴民的說法，下一步要再募款，目標是美國紐約時報刊登英文版廣告，向國際發聲反服貿。\n
\n								    \n"
12,http://www.ttv.com.tw/103/03/1030325/10303254929801I.htm,1395725189,1395728895,抗爭變調 中年男提汽油桶擬自焚　壓制灑水蓋毛毯 警架離欲自焚男　學生:立法兩岸監督機制 願退議場　退場露曙光 林飛帆:盼王金平對話　改變戰線!網友集資 刊登報紙廣告　黃國昌:資金足夠 月底登紐時廣告,"\n                        
\n									學生佔領立法院第八天，今天場外出現失控場面。\n
\n							        
\n									一名中年男子居然在現場拿裝有汽油的保特瓶淋在身上企圖自焚，幸好被及時制止。\n
\n							        
\n									場內學生也開始拋出退場機制的條件說，除了要求和立法院長王金平對話，希望朝野承諾通過兩岸監督條例立法，這麼一來 他們就同意撤出議場。\n
\n							        
\n									男子拿著裝有汽油的寶特瓶，邊跑邊淋汽油還大喊輕生，甚度掏出打火機要引火自焚。\n
\n								    
\n									場外學生見狀立刻上前制止，而警方一趕到將他壓制在地，並且灑水蓋毛毯。\n
\n								    
\n									男子衝到警方面前意圖自焚，還好員警學生很機警，解除虛驚，為何選擇這麼激烈的手段，警方帶回訊問調查。\n
\n								    
\n									靜坐進入第八天，訴求至今沒有得到正面回應，怎麼退場？學生除了希望和王金平對話，還提出條件說。\n
\n								    
\n									拋出退場機制，還希望和王金平對話。\n
\n								    
\n									王金平不承認，學運還是要繼續，現在從街頭.網路戰線轉到報紙媒體，買下頭版廣告，廣告右上方特別標記3千495位公民贊助6百多萬元，要駁斥學生暴民的說法，下一步要再募款，目標是美國紐約時報刊登英文版廣告，向國際發聲反服貿。\n
\n								    \n"
